progress_id,ship_no,process_code,workshop_code,period_date,plan_qty,actual_qty,complete_rate,deviation_rate,delay_days,risk_level,batch_code,quality_pass_qty,rework_qty,source_type,anomaly_flag
P0000066,H2605,AZTP,WSF,2025-02-02,20.8,18.91,0.9091,-0.0909,2,中,批次03-202502,18.53,0.38,衍生模拟,
P0000067,H2606,YCL,WSA,2025-02-02,39.76,39.83,1.0018,0.0018,0,低,批次03-202502,38.83,1,衍生模拟,
P0000068,H2606,YCL,WSB,2025-02-02,33.99,34.12,1.0038,0.0038,0,低,批次03-202502,33.44,0.68,衍生模拟,
P0000069,H2606,ZZTP,WSC,2025-02-02,26.1,25.36,0.9716,-0.0284,1,低,批次03-202502,24.87,0.49,衍生模拟,
P0000070,H2606,ZZTP,WSD,2025-02-02,27.46,26.87,0.9785,-0.0215,1,低,批次03-202502,26.2,0.67,衍生模拟,
P0000071,H2606,AZTP,WSE,2025-02-02,23.82,23.24,0.9757,-0.0243,1,低,批次03-202502,22.64,0.6,衍生模拟,
P0000072,H2606,AZTP,WSF,2025-02-02,22.68,21.95,0.9678,-0.0322,1,低,批次03-202502,21.34,0.61,衍生模拟,
P0000073,H2601,YCL,WSA,2025-02-03,30.92,29.16,0.9431,-0.0569,2,中,批次01-202502,28.49,0.67,衍生模拟,
P0000074,H2601,YCL,WSB,2025-02-03,26.75,25,0.9346,-0.0654,2,中,批次01-202502,24.79,0.21,衍生模拟,
P0000075,H2601,ZZTP,WSC,2025-02-03,25.1,22.75,0.9064,-0.0936,2,中,批次01-202502,21.97,0.78,衍生模拟,
P0000076,H2601,ZZTP,WSD,2025-02-03,21.73,19.91,0.9162,-0.0838,2,中,批次01-202502,19.59,0.32,衍生模拟,
P0000077,H2601,AZTP,WSE,2025-02-03,19.86,19.52,0.9829,-0.0171,0,低,批次01-202502,19.27,0.25,衍生模拟,
P0000078,H2601,AZTP,WSF,2025-02-03,15.13,14.73,0.9736,-0.0264,1,低,批次01-202502,14.32,0.41,衍生模拟,
P0000079,H2602,YCL,WSA,2025-02-03,27.72,24.39,0.8799,-0.1201,3,中,批次01-202502,23.81,0.58,衍生模拟,
P0000080,H2602,YCL,WSB,2025-02-03,28.03,24.67,0.8801,-0.1199,3,中,批次01-202502,24.11,0.56,衍生模拟,
P0000081,H2602,ZZTP,WSC,2025-02-03,24.8,22.12,0.8919,-0.1081,3,中,批次01-202502,21.47,0.65,衍生模拟,
P0000082,H2602,ZZTP,WSD,2025-02-03,22.22,19.93,0.8969,-0.1031,3,中,批次01-202502,19.42,0.51,衍生模拟,
P0000083,H2602,AZTP,WSE,2025-02-03,20.24,19.67,0.9718,-0.0282,1,低,批次01-202502,19.43,0.24,衍生模拟,
P0000084,H2602,AZTP,WSF,2025-02-03,17.33,16.86,0.9729,-0.0271,1,低,批次01-202502,16.44,0.42,衍生模拟,
P0000085,H2603,YCL,WSA,2025-02-03,31.25,31.83,1.0186,0.0186,0,低,批次02-202502,31.44,0.39,衍生模拟,
P0000086,H2603,YCL,WSB,2025-02-03,29.97,30.79,1.0274,0.0274,0,低,批次02-202502,29.91,0.88,衍生模拟,
P0000087,H2603,ZZTP,WSC,2025-02-03,23.01,22.4,0.9735,-0.0265,1,低,批次02-202502,21.81,0.59,衍生模拟,
P0000088,H2603,ZZTP,WSD,2025-02-03,21.5,20.8,0.9674,-0.0326,1,低,批次02-202502,20.48,0.32,衍生模拟,
P0000089,H2603,AZTP,WSE,2025-02-03,21.9,20.72,0.9461,-0.0539,2,中,批次02-202502,20.51,0.21,衍生模拟,
P0000090,H2603,AZTP,WSF,2025-02-03,16.48,15.43,0.9363,-0.0637,2,中,批次02-202502,15.34,0.09,衍生模拟,
P0000091,H2604,YCL,WSA,2025-02-03,38.84,38.31,0.9864,-0.0136,0,低,批次02-202502,37.93,0.38,衍生模拟,
P0000092,H2604,YCL,WSB,2025-02-03,28.95,28.31,0.9779,-0.0221,1,低,批次02-202502,28.14,0.17,衍生模拟,
P0000093,H2604,ZZTP,WSC,2025-02-03,24.71,23.71,0.9595,-0.0405,1,低,批次02-202502,23.44,0.27,衍生模拟,
P0000094,H2604,ZZTP,WSD,2025-02-03,23.44,22.21,0.9475,-0.0525,2,中,批次02-202502,21.57,0.64,衍生模拟,
P0000095,H2604,AZTP,WSE,2025-02-03,21.16,21.54,1.018,0.018,0,低,批次02-202502,21.27,0.27,衍生模拟,
P0000096,H2604,AZTP,WSF,2025-02-03,20.17,20.71,1.0268,0.0268,0,低,批次02-202502,20.41,0.3,衍生模拟,
P0000097,H2605,YCL,WSA,2025-02-03,35.07,35.63,1.016,0.016,0,低,批次03-202502,35.26,0.37,衍生模拟,
P0000098,H2605,YCL,WSB,2025-02-03,29.72,30.05,1.0111,0.0111,0,低,批次03-202502,29.7,0.35,衍生模拟,
P0000099,H2605,ZZTP,WSC,2025-02-03,22.96,23.45,1.0213,0.0213,0,低,批次03-202502,23.11,0.34,衍生模拟,
P0000100,H2605,ZZTP,WSD,2025-02-03,27.85,28.39,1.0194,0.0194,0,低,批次03-202502,28.11,0.28,衍生模拟,
P0000101,H2605,AZTP,WSE,2025-02-03,18.8,17.13,0.9112,-0.0888,2,中,批次03-202502,16.83,0.3,衍生模拟,
P0000102,H2605,AZTP,WSF,2025-02-03,19.87,18.3,0.921,-0.079,2,中,批次03-202502,18.19,0.11,衍生模拟,
P0000103,H2606,YCL,WSA,2025-02-03,34.06,34.29,1.0068,0.0068,0,低,批次03-202502,33.43,0.86,衍生模拟,
P0000104,H2606,YCL,WSB,2025-02-03,36.95,37.24,1.0078,0.0078,0,低,批次03-202502,36.65,0.59,衍生模拟,
P0000105,H2606,ZZTP,WSC,2025-02-03,26.56,25.8,0.9714,-0.0286,1,低,批次03-202502,25.56,0.24,衍生模拟,
P0000106,H2606,ZZTP,WSD,2025-02-03,27.38,26.98,0.9854,-0.0146,0,低,批次03-202502,26.11,0.87,衍生模拟,
P0000107,H2606,AZTP,WSE,2025-02-03,21.95,21.51,0.98,-0.02,0,低,批次03-202502,21.32,0.19,衍生模拟,
P0000108,H2606,AZTP,WSF,2025-02-03,20.28,19.57,0.965,-0.035,1,低,批次03-202502,19.25,0.32,衍生模拟,
P0000109,H2601,YCL,WSA,2025-02-04,28.54,27.19,0.9527,-0.0473,1,低,批次01-202502,26.4,0.79,衍生模拟,
P0000110,H2601,YCL,WSB,2025-02-04,26.76,25,0.9342,-0.0658,2,中,批次01-202502,24.13,0.87,衍生模拟,
P0000111,H2601,ZZTP,WSC,2025-02-04,20.26,18.59,0.9176,-0.0824,2,中,批次01-202502,18.28,0.31,衍生模拟,
P0000112,H2601,ZZTP,WSD,2025-02-04,18.92,17.21,0.9096,-0.0904,2,中,批次01-202502,16.71,0.5,衍生模拟,
P0000113,H2601,AZTP,WSE,2025-02-04,17.42,17.07,0.9799,-0.0201,1,低,批次01-202502,16.67,0.4,衍生模拟,
P0000114,H2601,AZTP,WSF,2025-02-04,18.08,17.55,0.9707,-0.0293,1,低,批次01-202502,17.42,0.13,衍生模拟,
P0000115,H2602,YCL,WSA,2025-02-04,30.68,27,0.8801,-0.1199,3,中,批次01-202502,26.83,0.17,衍生模拟,
P0000116,H2602,YCL,WSB,2025-02-04,32.18,28.31,0.8797,-0.1203,3,中,批次01-202502,27.46,0.85,衍生模拟,
P0000117,H2602,ZZTP,WSC,2025-02-04,25.01,22.15,0.8856,-0.1144,3,中,批次01-202502,21.54,0.61,衍生模拟,
P0000118,H2602,ZZTP,WSD,2025-02-04,24.41,22.03,0.9025,-0.0975,2,中,批次01-202502,21.27,0.76,衍生模拟,
P0000119,H2602,AZTP,WSE,2025-02-04,19.36,18.93,0.9778,-0.0222,1,低,批次01-202502,18.63,0.3,衍生模拟,
P0000120,H2602,AZTP,WSF,2025-02-04,17.44,17.12,0.9817,-0.0183,0,低,批次01-202502,16.6,0.52,衍生模拟,
P0000121,H2603,YCL,WSA,2025-02-04,36.18,37.01,1.0229,0.0229,0,低,批次02-202502,36.24,0.77,衍生模拟,
P0000122,H2603,YCL,WSB,2025-02-04,31.04,31.75,1.0229,0.0229,0,低,批次02-202502,31.51,0.24,衍生模拟,
P0000123,H2603,ZZTP,WSC,2025-02-04,21.22,20.58,0.9698,-0.0302,1,低,批次02-202502,20.1,0.48,衍生模拟,
P0000124,H2603,ZZTP,WSD,2025-02-04,22.49,21.63,0.9618,-0.0382,1,低,批次02-202502,20.98,0.65,衍生模拟,
P0000125,H2603,AZTP,WSE,2025-02-04,18.22,17.14,0.9407,-0.0593,2,中,批次02-202502,16.65,0.49,衍生模拟,
P0000126,H2603,AZTP,WSF,2025-02-04,15.37,14.33,0.9323,-0.0677,2,中,批次02-202502,14.13,0.2,衍生模拟,
P0000127,H2604,YCL,WSA,2025-02-04,30.05,29.44,0.9797,-0.0203,1,低,批次02-202502,28.63,0.81,衍生模拟,
P0000128,H2604,YCL,WSB,2025-02-04,31.64,30.99,0.9795,-0.0205,1,低,批次02-202502,30.75,0.24,衍生模拟,
P0000129,H2604,ZZTP,WSC,2025-02-04,24.85,23.5,0.9457,-0.0543,2,中,批次02-202502,23.33,0.17,衍生模拟,
P0000130,H2604,ZZTP,WSD,2025-02-04,24.73,23.45,0.9482,-0.0518,2,中,批次02-202502,23.13,0.32,衍生模拟,
P0000131,H2604,AZTP,WSE,2025-02-04,17.63,17.83,1.0113,0.0113,0,低,批次02-202502,17.45,0.38,衍生模拟,
P0000132,H2604,AZTP,WSF,2025-02-04,18.42,18.83,1.0223,0.0223,0,低,批次02-202502,18.33,0.5,衍生模拟,
P0000133,H2605,YCL,WSA,2025-02-04,34.75,35.32,1.0164,0.0164,0,低,批次03-202502,35.11,0.21,衍生模拟,
P0000134,H2605,YCL,WSB,2025-02-04,34.8,35.26,1.0132,0.0132,0,低,批次03-202502,34.47,0.79,衍生模拟,
P0000135,H2605,ZZTP,WSC,2025-02-04,27.72,28.09,1.0133,0.0133,0,低,批次03-202502,27.89,0.2,衍生模拟,
P0000136,H2605,ZZTP,WSD,2025-02-04,21.52,21.7,1.0084,0.0084,0,低,批次03-202502,21.07,0.63,衍生模拟,
P0000137,H2605,AZTP,WSE,2025-02-04,21.59,19.85,0.9194,-0.0806,2,中,批次03-202502,19.27,0.58,衍生模拟,
P0000138,H2605,AZTP,WSF,2025-02-04,18.29,16.86,0.9218,-0.0782,2,中,批次03-202502,16.42,0.44,衍生模拟,
P0000139,H2606,YCL,WSA,2025-02-04,33.73,33.63,0.997,-0.003,0,低,批次03-202502,32.97,0.66,衍生模拟,
P0000140,H2606,YCL,WSB,2025-02-04,31.99,31.81,0.9944,-0.0056,0,低,批次03-202502,30.98,0.83,衍生模拟,
P0000141,H2606,ZZTP,WSC,2025-02-04,25.32,24.87,0.9822,-0.0178,0,低,批次03-202502,24.6,0.27,衍生模拟,
P0000142,H2606,ZZTP,WSD,2025-02-04,24.79,24.02,0.9689,-0.0311,1,低,批次03-202502,23.36,0.66,衍生模拟,
P0000143,H2606,AZTP,WSE,2025-02-04,23.26,22.39,0.9626,-0.0374,1,低,批次03-202502,21.89,0.5,衍生模拟,
P0000144,H2606,AZTP,WSF,2025-02-04,18.79,18.3,0.9739,-0.0261,1,低,批次03-202502,18.16,0.14,衍生模拟,
P0000145,H2601,YCL,WSA,2025-02-05,29.57,27.98,0.9462,-0.0538,2,中,批次01-202502,27.79,0.19,衍生模拟,
P0000146,H2601,YCL,WSB,2025-02-05,24.2,22.67,0.9368,-0.0632,2,中,批次01-202502,21.9,0.77,衍生模拟,
P0000147,H2601,ZZTP,WSC,2025-02-05,22.36,20.42,0.9132,-0.0868,2,中,批次01-202502,19.74,0.68,衍生模拟,
P0000148,H2601,ZZTP,WSD,2025-02-05,20.51,18.74,0.9137,-0.0863,2,中,批次01-202502,18.26,0.48,衍生模拟,
P0000149,H2601,AZTP,WSE,2025-02-05,18.27,17.79,0.9737,-0.0263,1,低,批次01-202502,17.2,0.59,衍生模拟,
P0000150,H2601,AZTP,WSF,2025-02-05,15.43,15.1,0.9786,-0.0214,1,低,批次01-202502,14.7,0.4,衍生模拟,
P0000151,H2602,YCL,WSA,2025-02-05,30.79,27.09,0.8798,-0.1202,3,中,批次01-202502,26.45,0.64,衍生模拟,
P0000152,H2602,YCL,WSB,2025-02-05,32.43,28.54,0.88,-0.12,3,中,批次01-202502,28.26,0.28,衍生模拟,
P0000153,H2602,ZZTP,WSC,2025-02-05,25.16,22.55,0.8963,-0.1037,3,中,批次01-202502,22.39,0.16,衍生模拟,
P0000154,H2602,ZZTP,WSD,2025-02-05,19.57,17.62,0.9004,-0.0996,2,中,批次01-202502,17.3,0.32,衍生模拟,
P0000155,H2602,AZTP,WSE,2025-02-05,18.79,18.58,0.9888,-0.0112,0,低,批次01-202502,17.97,0.61,衍生模拟,
P0000156,H2602,AZTP,WSF,2025-02-05,15.13,14.81,0.9788,-0.0212,1,低,批次01-202502,14.41,0.4,衍生模拟,
P0000157,H2603,YCL,WSA,2025-02-05,28.43,29.28,1.0299,0.0299,0,低,批次02-202502,28.3,0.98,衍生模拟,
P0000158,H2603,YCL,WSB,2025-02-05,34.26,35.29,1.0301,0.0301,0,低,批次02-202502,34.85,0.44,衍生模拟,
P0000159,H2603,ZZTP,WSC,2025-02-05,24.6,23.68,0.9626,-0.0374,1,低,批次02-202502,23.42,0.26,衍生模拟,
P0000160,H2603,ZZTP,WSD,2025-02-05,19.47,18.76,0.9635,-0.0365,1,低,批次02-202502,18.14,0.62,衍生模拟,
P0000161,H2603,AZTP,WSE,2025-02-05,17.92,16.67,0.9302,-0.0698,2,中,批次02-202502,16.52,0.15,衍生模拟,
P0000162,H2603,AZTP,WSF,2025-02-05,15.91,15,0.9428,-0.0572,2,中,批次02-202502,14.63,0.37,衍生模拟,
P0000163,H2604,YCL,WSA,2025-02-05,29.74,29.36,0.9872,-0.0128,0,低,批次02-202502,28.6,0.76,衍生模拟,
P0000164,H2604,YCL,WSB,2025-02-05,33.88,33.05,0.9755,-0.0245,1,低,批次02-202502,31.97,1.08,衍生模拟,
P0000165,H2604,ZZTP,WSC,2025-02-05,23.12,21.78,0.942,-0.058,2,中,批次02-202502,21.14,0.64,衍生模拟,
P0000166,H2604,ZZTP,WSD,2025-02-05,25.01,23.79,0.9512,-0.0488,1,低,批次02-202502,23.21,0.58,衍生模拟,
P0000167,H2604,AZTP,WSE,2025-02-05,22.68,22.98,1.0132,0.0132,0,低,批次02-202502,22.62,0.36,衍生模拟,
P0000168,H2604,AZTP,WSF,2025-02-05,18.56,18.78,1.0119,0.0119,0,低,批次02-202502,18.61,0.17,衍生模拟,
P0000169,H2605,YCL,WSA,2025-02-05,33.85,34.06,1.0062,0.0062,0,低,批次03-202502,33.35,0.71,衍生模拟,
P0000170,H2605,YCL,WSB,2025-02-05,31.82,31.72,0.9969,-0.0031,0,低,批次03-202502,31.1,0.62,衍生模拟,
P0000171,H2605,ZZTP,WSC,2025-02-05,27.03,27.62,1.0218,0.0218,0,低,批次03-202502,27.29,0.33,衍生模拟,
P0000172,H2605,ZZTP,WSD,2025-02-05,21.76,22.22,1.0211,0.0211,0,低,批次03-202502,21.64,0.58,衍生模拟,
P0000173,H2605,AZTP,WSE,2025-02-05,20.54,18.7,0.9104,-0.0896,2,中,批次03-202502,18.12,0.58,衍生模拟,
P0000174,H2605,AZTP,WSF,2025-02-05,20.98,19.32,0.9209,-0.0791,2,中,批次03-202502,18.86,0.46,衍生模拟,
P0000175,H2606,YCL,WSA,2025-02-05,35.9,35.71,0.9947,-0.0053,0,低,批次03-202502,35.03,0.68,衍生模拟,
P0000176,H2606,YCL,WSB,2025-02-05,32.13,32.45,1.01,0.01,0,低,批次03-202502,31.97,0.48,衍生模拟,
P0000177,H2606,ZZTP,WSC,2025-02-05,30.96,30.13,0.9732,-0.0268,1,低,批次03-202502,29.29,0.84,衍生模拟,
P0000178,H2606,ZZTP,WSD,2025-02-05,22.14,21.72,0.981,-0.019,0,低,批次03-202502,21.03,0.69,衍生模拟,
P0000179,H2606,AZTP,WSE,2025-02-05,23.67,23.1,0.9759,-0.0241,1,低,批次03-202502,22.75,0.35,衍生模拟,
P0000180,H2606,AZTP,WSF,2025-02-05,17.54,16.96,0.9669,-0.0331,1,低,批次03-202502,16.74,0.22,衍生模拟,
P0000181,H2601,YCL,WSA,2025-02-06,28.47,26.63,0.9354,-0.0646,2,中,批次01-202502,26.27,0.36,衍生模拟,
P0000182,H2601,YCL,WSB,2025-02-06,27,25.67,0.9507,-0.0493,1,低,批次01-202502,24.89,0.78,衍生模拟,
P0000183,H2601,ZZTP,WSC,2025-02-06,23.38,21.17,0.9055,-0.0945,2,中,批次01-202502,20.51,0.66,衍生模拟,
P0000184,H2601,ZZTP,WSD,2025-02-06,23.02,21.22,0.9218,-0.0782,2,中,批次01-202502,20.95,0.27,衍生模拟,
P0000185,H2601,AZTP,WSE,2025-02-06,18.04,17.85,0.9895,-0.0105,0,低,批次01-202502,17.62,0.23,衍生模拟,
P0000186,H2601,AZTP,WSF,2025-02-06,14.83,14.38,0.9697,-0.0303,1,低,批次01-202502,14.27,0.11,衍生模拟,
P0000187,H2602,YCL,WSA,2025-02-06,35.56,31.3,0.8802,-0.1198,3,中,批次01-202502,30.67,0.63,衍生模拟,
P0000188,H2602,YCL,WSB,2025-02-06,31.86,28.03,0.8798,-0.1202,3,中,批次01-202502,27.1,0.93,衍生模拟,
P0000189,H2602,ZZTP,WSC,2025-02-06,25.9,23.42,0.9042,-0.0958,2,中,批次01-202502,22.85,0.57,衍生模拟,
P0000190,H2602,ZZTP,WSD,2025-02-06,23.12,20.59,0.8906,-0.1094,3,中,批次01-202502,20.45,0.14,衍生模拟,
P0000191,H2602,AZTP,WSE,2025-02-06,16.99,16.65,0.98,-0.02,0,低,批次01-202502,16.14,0.51,衍生模拟,
P0000192,H2602,AZTP,WSF,2025-02-06,17.9,17.71,0.9894,-0.0106,0,低,批次01-202502,17.24,0.47,衍生模拟,
P0000193,H2603,YCL,WSA,2025-02-06,36.48,37.34,1.0236,0.0236,0,低,批次02-202502,37.09,0.25,衍生模拟,
P0000194,H2603,YCL,WSB,2025-02-06,32.34,33.23,1.0275,0.0275,0,低,批次02-202502,32.9,0.33,衍生模拟,
P0000195,H2603,ZZTP,WSC,2025-02-06,22.31,21.59,0.9677,-0.0323,1,低,批次02-202502,21.27,0.32,衍生模拟,
P0000196,H2603,ZZTP,WSD,2025-02-06,22.18,21.69,0.9779,-0.0221,1,低,批次02-202502,21.14,0.55,衍生模拟,
