date_key,date_value,year,quarter,month,month_label,week_of_year,day_of_month,day_of_week,is_weekend
20250502,2025-05-02,2025,Q2,5,2025-05,18,2,5,0
20250503,2025-05-03,2025,Q2,5,2025-05,18,3,6,1
20250504,2025-05-04,2025,Q2,5,2025-05,18,4,7,1
20250505,2025-05-05,2025,Q2,5,2025-05,19,5,1,0
20250506,2025-05-06,2025,Q2,5,2025-05,19,6,2,0
20250507,2025-05-07,2025,Q2,5,2025-05,19,7,3,0
20250508,2025-05-08,2025,Q2,5,2025-05,19,8,4,0
20250509,2025-05-09,2025,Q2,5,2025-05,19,9,5,0
20250510,2025-05-10,2025,Q2,5,2025-05,19,10,6,1
20250511,2025-05-11,2025,Q2,5,2025-05,19,11,7,1
20250512,2025-05-12,2025,Q2,5,2025-05,20,12,1,0
20250513,2025-05-13,2025,Q2,5,2025-05,20,13,2,0
20250514,2025-05-14,2025,Q2,5,2025-05,20,14,3,0
20250515,2025-05-15,2025,Q2,5,2025-05,20,15,4,0
20250516,2025-05-16,2025,Q2,5,2025-05,20,16,5,0
20250517,2025-05-17,2025,Q2,5,2025-05,20,17,6,1
20250518,2025-05-18,2025,Q2,5,2025-05,20,18,7,1
20250519,2025-05-19,2025,Q2,5,2025-05,21,19,1,0
20250520,2025-05-20,2025,Q2,5,2025-05,21,20,2,0
20250521,2025-05-21,2025,Q2,5,2025-05,21,21,3,0
20250522,2025-05-22,2025,Q2,5,2025-05,21,22,4,0
20250523,2025-05-23,2025,Q2,5,2025-05,21,23,5,0
20250524,2025-05-24,2025,Q2,5,2025-05,21,24,6,1
20250525,2025-05-25,2025,Q2,5,2025-05,21,25,7,1
20250526,2025-05-26,2025,Q2,5,2025-05,22,26,1,0
20250527,2025-05-27,2025,Q2,5,2025-05,22,27,2,0
20250528,2025-05-28,2025,Q2,5,2025-05,22,28,3,0
20250529,2025-05-29,2025,Q2,5,2025-05,22,29,4,0
20250530,2025-05-30,2025,Q2,5,2025-05,22,30,5,0
20250531,2025-05-31,2025,Q2,5,2025-05,22,31,6,1
20250601,2025-06-01,2025,Q2,6,2025-06,22,1,7,1
20250602,2025-06-02,2025,Q2,6,2025-06,23,2,1,0
20250603,2025-06-03,2025,Q2,6,2025-06,23,3,2,0
20250604,2025-06-04,2025,Q2,6,2025-06,23,4,3,0
20250605,2025-06-05,2025,Q2,6,2025-06,23,5,4,0
20250606,2025-06-06,2025,Q2,6,2025-06,23,6,5,0
20250607,2025-06-07,2025,Q2,6,2025-06,23,7,6,1
20250608,2025-06-08,2025,Q2,6,2025-06,23,8,7,1
20250609,2025-06-09,2025,Q2,6,2025-06,24,9,1,0
20250610,2025-06-10,2025,Q2,6,2025-06,24,10,2,0
20250611,2025-06-11,2025,Q2,6,2025-06,24,11,3,0
20250612,2025-06-12,2025,Q2,6,2025-06,24,12,4,0
20250613,2025-06-13,2025,Q2,6,2025-06,24,13,5,0
20250614,2025-06-14,2025,Q2,6,2025-06,24,14,6,1
20250615,2025-06-15,2025,Q2,6,2025-06,24,15,7,1
20250616,2025-06-16,2025,Q2,6,2025-06,25,16,1,0
20250617,2025-06-17,2025,Q2,6,2025-06,25,17,2,0
20250618,2025-06-18,2025,Q2,6,2025-06,25,18,3,0
20250619,2025-06-19,2025,Q2,6,2025-06,25,19,4,0
20250620,2025-06-20,2025,Q2,6,2025-06,25,20,5,0
20250621,2025-06-21,2025,Q2,6,2025-06,25,21,6,1
20250622,2025-06-22,2025,Q2,6,2025-06,25,22,7,1
20250623,2025-06-23,2025,Q2,6,2025-06,26,23,1,0
20250624,2025-06-24,2025,Q2,6,2025-06,26,24,2,0
20250625,2025-06-25,2025,Q2,6,2025-06,26,25,3,0
20250626,2025-06-26,2025,Q2,6,2025-06,26,26,4,0
20250627,2025-06-27,2025,Q2,6,2025-06,26,27,5,0
20250628,2025-06-28,2025,Q2,6,2025-06,26,28,6,1
20250629,2025-06-29,2025,Q2,6,2025-06,26,29,7,1
20250630,2025-06-30,2025,Q2,6,2025-06,27,30,1,0
20250701,2025-07-01,2025,Q3,7,2025-07,27,1,2,0
20250702,2025-07-02,2025,Q3,7,2025-07,27,2,3,0
20250703,2025-07-03,2025,Q3,7,2025-07,27,3,4,0
20250704,2025-07-04,2025,Q3,7,2025-07,27,4,5,0
20250705,2025-07-05,2025,Q3,7,2025-07,27,5,6,1
20250706,2025-07-06,2025,Q3,7,2025-07,27,6,7,1
20250707,2025-07-07,2025,Q3,7,2025-07,28,7,1,0
20250708,2025-07-08,2025,Q3,7,2025-07,28,8,2,0
20250709,2025-07-09,2025,Q3,7,2025-07,28,9,3,0
20250710,2025-07-10,2025,Q3,7,2025-07,28,10,4,0
20250711,2025-07-11,2025,Q3,7,2025-07,28,11,5,0
20250712,2025-07-12,2025,Q3,7,2025-07,28,12,6,1
20250713,2025-07-13,2025,Q3,7,2025-07,28,13,7,1
20250714,2025-07-14,2025,Q3,7,2025-07,29,14,1,0
20250715,2025-07-15,2025,Q3,7,2025-07,29,15,2,0
20250716,2025-07-16,2025,Q3,7,2025-07,29,16,3,0
20250717,2025-07-17,2025,Q3,7,2025-07,29,17,4,0
20250718,2025-07-18,2025,Q3,7,2025-07,29,18,5,0
20250719,2025-07-19,2025,Q3,7,2025-07,29,19,6,1
20250720,2025-07-20,2025,Q3,7,2025-07,29,20,7,1
20250721,2025-07-21,2025,Q3,7,2025-07,30,21,1,0
20250722,2025-07-22,2025,Q3,7,2025-07,30,22,2,0
20250723,2025-07-23,2025,Q3,7,2025-07,30,23,3,0
20250724,2025-07-24,2025,Q3,7,2025-07,30,24,4,0
20250725,2025-07-25,2025,Q3,7,2025-07,30,25,5,0
20250726,2025-07-26,2025,Q3,7,2025-07,30,26,6,1
20250727,2025-07-27,2025,Q3,7,2025-07,30,27,7,1
20250728,2025-07-28,2025,Q3,7,2025-07,31,28,1,0
20250729,2025-07-29,2025,Q3,7,2025-07,31,29,2,0
20250730,2025-07-30,2025,Q3,7,2025-07,31,30,3,0
20250731,2025-07-31,2025,Q3,7,2025-07,31,31,4,0
